Município;Telefone da Prefeitura;Secretaria de Assistência Social;Secretário(a);Contato da Secretaria;Endereço da Secretaria;Site da Prefeitura;Status do dado;Fonte;Observação
Cocalzinho de Goiás;(62) 3339-1538;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL - SEMAS;WEMERSON PEREIRA NASCIMENTO;(62) 3339-1229 Ramal 0;AVENIDA 03 de julho Quadra 06 Lote 08, s/nº, CENTRO, CEP: 72.975-000, COCALZINHO DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Colinas do Sul;(62) 3486-1117;Secretaria Municipal de Assistência Social;ELANI TERESINHA MOREIRA SARAIVA;(62) 3486-1310;RUA JUSCELINO KUBITSCHEK, 0, CENTRO, CEP: 73.740-000, COLINAS DO SUL/GO;-;CadSUAS (gestão atual);CadSUAS;
Corumbaíba;(64) 3447-7000 Ramal 7001;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Lara Rodrigues Teixeira de Araújo;Oculto para proteção de dados (LGPD);RUA Rua Pedro Ludovico, 0, centro, CEP: 75.675-000, CORUMBAIBA/GO;-;CadSUAS (gestão atual);CadSUAS;
Corumbá de Goiás;(62) 3338-1576;Secretaria Municipal da Cidadania e Justiça Social;ADRIANA CRISTINA DE MOURA;Oculto para proteção de dados (LGPD);RUA São Bento, 81, Centro, CEP: 72.960-000, CORUMBA DE GOIAS/GO;https://corumbadegoias.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Cristalina;(61) 3612-2525;Secretaria de Assistência Social;SAMARA GREGORY LUZZI BIAZOTO MASSA;(61) 3686-5052;RUA 21 de Abril Qd. L, 001, Centro, CEP: 73.850-000, CRISTALINA/GO;-;CadSUAS (gestão atual);CadSUAS;
Cristianópolis;(64) 3932-8002 Ramal 0;Assistência e Promoção Social;FABIANE LOPES MAGALHÃES CALLIMAN;(64) 3932-8017;RUA wilson da Paixao, 01, CENTRO, CEP: 75.230-000, CRISTIANOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Crixás;(62) 3365-1210;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Soraya Xavier Maciel;Oculto para proteção de dados (LGPD);RUA 08 - QUADRA 09 LOTE 13, 0, VILA NOVA, CEP: 76.510-000, CRIXAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Cromínia;(64) 3419-1487;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL DE CROMINIA;JOSIANY LUIZA PIRES;(64) 3419-1487 Ramal 25;PRAÇA ANTONIO PARREIRA DUARTE, S/N, SETOR CASTELO BRANCO, CEP: 75.635-000, CROMINIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Cumari;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Miriane Rosa do Nascimento Meirelles;Oculto para proteção de dados (LGPD);PRAÇA PRAÇA SAO JOAO BATISTA, 01, CENTRO, CEP: 75.760-000, CUMARI/GO;-;CadSUAS (gestão atual);CadSUAS;
Córrego do Ouro;(64) 3687-1128;Secretaria Municipal de Assistencia Social;VIVIANE ELIZE CAMPOS;(64) 3687-1122 Ramal 31;PRAÇA Praça Cordeiro, 40, Centro, CEP: 76.145-000, CORREGO DO OURO/GO;-;CadSUAS (gestão atual);CadSUAS;
Damianópolis;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;HADYLLA TAWANNE PESSOA BARROS;Oculto para proteção de dados (LGPD);AVENIDA AVENIDA TIRADENTES, 538, SETOR BUENO, CEP: 73.980-000, DAMIANOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Damolândia;(62) 3337-3133;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL DE DAMOLANDIA;GLEIYCI FERREIRA DO CARMO;(62) 3337-3133;PRAÇA PRAÇA HUGO COSTA, 01, VILA MINEIRA, CEP: 75.420-000, DAMOLANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Davinópolis;(64) 3697-1150;Secretaria Municipal de Cidadania e Assistencia Social;Fernanda Ferreira Costa da Fonseca;(64) 3697-1150;RUA Dorcilia Candida de Jesus, 0, centro, CEP: 75.730-000, DAVINOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Diorama;(64) 3689-1105 Ramal 22;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E TRABALHO;VIVIANE DE DEUS COSTA E LIMA;(64) 3689-1101 Ramal 213;AVENIDA DEPUTADO JOSÉ DE ASSIS, 000, CENTRAL, CEP: 76.260-000, DIORAMA/GO;-;CadSUAS (gestão atual);CadSUAS;
Divinópolis de Goiás;(62) 3456-1100 Ramal 27;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;GREGORIO DE ABREU ALVES JUNIOR;(62) 3456-1386;AVENIDA AV MANOEL LUDOVINO, 00, CENTRO, CEP: 73.865-000, DIVINOPOLIS DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Doverlândia;(64) 3664-1243;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;RENATA MURAD MAFUD;(64) 3664-1397;AVENIDA INDEPENDENCIA, 470, CENTRO, CEP: 75.855-000, DOVERLANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Edealina;(64) 3480-1133;SECRETARIA MUNICIPAL DE PROMOÇAO SOCIAL;Janeclair Faleiro da Silva;(64) 3480-1200;RUA RUA 21 QUADRA 03, S/Nº, CENTRO, CEP: 75.945-000, EDEALINA/GO;-;CadSUAS (gestão atual);CadSUAS;
Edéia;(64) 3492-1545;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Eliene Buri Rodrigues Andrade;Oculto para proteção de dados (LGPD);AVENIDA JOAQUIM VITAL, S/N, CENTRO, CEP: 75.940-000, EDEIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Estrela do Norte;(62) 3381-6687;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Eliane Correia da Silva;(62) 3381-6247;PRAÇA PRAÇA CANDIDO ALVES COSTA, 00, CENTRO, CEP: 76.485-000, ESTRELA DO NORTE/GO;-;CadSUAS (gestão atual);CadSUAS;
Faina;(62) 2020-9702;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;TANIA CURADO DE CASTRO BATISTA;(62) 2020-9702;AVENIDA FELIX DE BRITO, 00, VILA SOUZA, CEP: 76.740-000, FAINA/GO;-;CadSUAS (gestão atual);CadSUAS;
Fazenda Nova;(62) 3382-1231;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;DANIELLA CORREIA DA SILVA;Oculto para proteção de dados (LGPD) / Tel: (62) 3382-1231 Ramal 32 | E-mail: assistenciasocial@fazendanova.go.gov.br / crasfazendanovago@gmail.com;AVENIDA Goiás, 551, CENTRO, CEP: 76.220-000, FAZENDA NOVA/GO;-;Confirmado via web;CadSUAS + https://www.fazendanova.go.gov.br/estrutura-organizacional/;2026-08 — Site oficial da prefeitura lista Daniella Correia da Silva como secretária de Assistência e Promoção Social na gestão atual 2025/2028 — mesma pessoa do CadSUAS.
Firminópolis;(64) 3861-2112;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Silvani Candida da Mata Oliveira;Oculto para proteção de dados (LGPD);AVENIDA Das Américas, 589, CENTRO, CEP: 76.105-000, FIRMINOPOLIS/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;"O site oficial (firminopolis.go.gov.br) e o portal 1Doc listam a Secretaria de Ação e Promoção Social / Assistência Social, mas não publicam o nome do(a) titular; nenhuma fonte de 2025-2026 encontrada confirmando ou contradizendo Silvani Candida da Mata Oliveira. Contato geral da prefeitura: 0800 665 6448 / prefeitura@firminopolis.go.gov.br. CadSUAS mantido."
Flores de Goiás;(62) 3448-1314 Ramal 202;Secretaria Municipal de Desenvolvimento Social e Trabalho;Nara Yorrane Pereira dos Santos;(62) 3448-1314 Ramal 206 / Tel: (62) 99901-4244 | E-mail: smas@floresdegoias.go.gov.br;PRAÇA PRAÇA DA MATRIZ, 44, FLORES VELHA, CEP: 73.890-000, FLORES DE GOIAS/GO;http://floresdegoias.com.br;Confirmado via web;CadSUAS + https://portal.floresdegoias.go.gov.br/secretaria/secretaria-municipal-de-assistencia-social-e-trabalho;2026-08 — Portal oficial atual da prefeitura lista Nara Yorrane Pereira dos Santos como titular da Secretaria Municipal de Assistência Social e Trabalho — mesma pessoa do CadSUAS.
Formosa;(61) 3981-1030;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL.;Bruna de Paula Oliveira;(61) 3981-1082 Ramal 0;PRAÇA PRAÇA DO MERCADO, 460, CENTRO, CEP: 73.801-620, FORMOSA/GO;-;CadSUAS (gestão atual);CadSUAS;
Formoso;(62) 3377-6830;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Simone Souza Silva de Oliveira;Oculto para proteção de dados (LGPD);RUA Praça Vereadora Nilda Mota Lucindo, 00, CENTRO, CEP: 76.470-000, FORMOSO/GO;-;CadSUAS (gestão atual);CadSUAS;
Gameleira de Goiás;(62) 3322-3143;SECRETARIA MUNICIPAL DE AÇÃO SOCIAL HABITAÇÃO E TRABALHO;José da Cunha Teles;Oculto para proteção de dados (LGPD) / Tel: (62) 2600-0301 | E-mail: secsocialgg@gmail.com;AVENIDA AVENIDA 3, 414, CENTRO, CEP: 75.184-000, GAMELEIRA DE GOIAS/GO;-;Atualizado via web;https://www.gameleiradegoias.go.gov.br/estrutura_organizacional?id=35;2026-08 — Site oficial da gestão atual (prefeita Wivviane de Carvalho Duarte Teles, 2025-2028) lista José da Cunha Teles como secretário de Assistência Social. Coerente com o CadSUAS, que já indicava fim do mandato de Flavia Arcari em 31/12/2024.
Goiandira;(64) 3462-1147;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;CLEONICE MARIA GRIGÓRIO PEIXOTO;Oculto para proteção de dados (LGPD);PRAÇA JOSÉ ABDALA, 01, CENTRO, CEP: 75.740-000, GOIANDIRA/GO;-;Confirmado via web;CadSUAS + https://sdnews.com.br/noticia/15684/curso-de-flores-fortalece-qualificacao-e-geracao-de-renda-em-goiandira;2026 — Notícias locais de 2025-2026 (Portal Serra Dourada News) citam Cleonice Grigório Peixoto como secretária municipal de Assistência Social e primeira-dama (prefeito Allisson Peixoto) — mesma pessoa do CadSUAS (CLEONICE MARIA GRIGÓRIO PEIXOTO), grafia abreviada.
Goianira;(62) 3516-2090;SECRETARIA MUNICIPAL DE PROMOÇÃO E ASSISTÊNCIA SOCIAL;Quelcilene Borges dos Santos Bento;(62) 3516-3617;RUA 02, 0, VILA LEO LYNCE, CEP: 75.361-545, GOIANIRA/GO;-;CadSUAS (gestão atual);CadSUAS;
Goianápolis;(62) 3341-1998;SECRETARIA DE ASSISTENCIA SOCIAL;MARIA ABADIA CARDOSO;(62) 3341-1998;RUA RUA ALAOR DE SÁ ABREU, 120, CENTRO, CEP: 75.170-000, GOIANAPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Goianésia;(62) 3389-9400;SECRETARIA DE ASSISTÊNCIA E PROMOCAO SOCIAL;IGARA LETICIA MIRANDA BORGES DE CASTRO;Oculto para proteção de dados (LGPD);RUA 33, 291, Setor Sul, CEP: 73.381-134, GOIANESIA/GO;http://www.goianesia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Goiatuba;(64) 3495-0000 Ramal 0012;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;JOELMA VIEIRA;(64) 3495-0083 Ramal 0034;AVENIDA CLOVES RODRIGO DO VALE, 647, CENTRO, CEP: 75.600-000, GOIATUBA/GO;-;CadSUAS (gestão atual);CadSUAS;
Goiás;(62) 3371-7720;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL TRABALHO E HABITAÇÃO;CÉLIA ANSELMO MENDANHA GOUVEA;(62) 3371-7719;RUA DR. NETO S/Nº, 0, CENTRO, CEP: 76.600-000, GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Goiânia;(62) 3254-1020;SECRETARIA MUNICIPAL DE POLÍTICAS PARA AS MULHERES, ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS;Eerizania Eneas de Freitas;(62) 3524-1309;RUA 4, 1052, SETOR CENTRAL, CEP: 74.080-060, GOIANIA/GO;http://www.goiania.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Gouvelândia;(64) 3653-1116 Ramal 201;SECRETARIA MUNICIPAL DE CIDADANIA E PROMOÇÃO SOCIAL;VIVIANE APARECIDA DE QUEIROZ;(64) 3653-1529;AVENIDA SETINÓPOLIS, 359, CENTRO, CEP: 75.865-000, GOUVELANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Guapó;(62) 3552-2070 Ramal 200;SECRETARIA MUNICIPAL DE ACAO E PROMOCAO SOCIAL;DJEENIFFER DOS SANTOS FERNANDES;Oculto para proteção de dados (LGPD);RUA SÃO SALVADOR, S/N, CENTRO, CEP: 75.350-000, GUAPO/GO;http://www.guapo.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Guarani de Goiás;(62) 3449-1239;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Giselle de Sousa Carvalho;Oculto para proteção de dados (LGPD) / Tel: (62) 99989-7641 | E-mail: assistenciaguaranigo@gmail.com;AVENIDA AV. Deputado Wilmar Guimarães Q.02 L.23, SN, Centro, CEP: 73.910-000, GUARANI DE GOIAS/GO;-;Confirmado via web;CadSUAS + https://guaranidegoias.go.gov.br/estrutura/secretaria-de-assistencia-social/;2026-08 — Site oficial atual lista Giselle de Souza Carvalho como secretária de Assistência Social — mesma pessoa do CadSUAS (grafia Sousa/Souza).
Guaraíta;(62) 3338-3151;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL DE GUARAITA;Tatiele Coelho dos Reis Nascimento;"Oculto para proteção de dados (LGPD) / Tel: (62) 3338-3151 (publicado na página da secretaria; mesmo número da prefeitura)";RUA VILMAR DE ALMEIDA, 92, CENTRO, CEP: 76.690-000, GUARAITA/GO;-;Confirmado via web;CadSUAS + https://www.guaraita.go.gov.br/wp-content/uploads/2025/08/PLANO-DECENAL-DE-ATENDIMENTO-SOCIOEDUCATIVO-2025-2034.pdf;2025-08 — Plano Municipal de Atendimento Socioeducativo 2025-2034 (Lei Municipal nº 665/2025), publicado no site oficial em ago/2025, cita textualmente 'Tatiele Coelho dos Reis Nascimento ... Secretária Municipal de Assistência Social-SMAS' — mesma pessoa do CadSUAS. Texto extraído diretamente do PDF.
Guarinos;(62) 3341-6163;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E TRABALHO;EDNA DA SILVA FILGUEIRA;(62) 3341-6163 Ramal 25;AVENIDA Josélio Rodrigues do Nascimento, 32, centro, CEP: 76.374-000, GUARINOS/GO;-;CadSUAS (gestão atual);CadSUAS;
Heitoraí;(62) 3346-3123;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL DE HEITORAÍ;EDNA ALARCON DUARTE;(62) 3346-3123 Ramal 20;AVENIDA CEL HEITOR, SN, CENTRO, CEP: 76.670-000, HEITORAI/GO;http://www.heitorai.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Hidrolina;(62) 3349-6613;Secretaria Municipal de Assistência Social;LUZIA DE SOUZA ESPINDULA SIQUEIRA;(62) 3349-6613 / Tel: (62) 98430-7139 | E-mail: assistenciasocial@hidrolina.go.gov.br / assistenciasocialhidrolina@hotmail.com;AVENIDA Avenida Antônio Braga, 77, Centro, CEP: 76.375-000, HIDROLINA/GO;-;Confirmado via web;CadSUAS + https://hidrolina.go.gov.br/estrutura-organizacional?id=18;2026-08 — Site oficial da prefeitura lista Luzia de Souza Espindula Siqueira como secretária de Assistência Social na gestão atual 2025/2028 — mesma pessoa do CadSUAS.
Hidrolândia;(62) 3553-8555 Ramal 302;Secretaria Municipal de Assistencia Social;Carina Carvalho de Oliveira;(62) 3553-8544;AVENIDA GOIANIA, 1005, Centro, CEP: 75.340-000, HIDROLANDIA/GO;http://www.hidrolandia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Iaciara;(62) 3473-1215;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Patricia Arnulfo Bombiero;(62) 3473-2123;AVENIDA Alfredo Nasser Qd.7 LT. 29, S/N, CENTRO, CEP: 73.920-000, IACIARA/GO;-;CadSUAS (gestão atual);CadSUAS;
Inaciolândia;(64) 3435-8040;Secretaria Municipal de Promoção Social, Mulher, Habitação e Trabalho;Sandra Martins Caixeta;(64) 3435-1226;RUA José Inácio de Barros, 15, José Inácio, CEP: 75.550-000, INACIOLANDIA/GO;http://www.inaciolandia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Indiara;(64) 3547-1157;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Raniery Barbosa de Almeida;Oculto para proteção de dados (LGPD);AVENIDA Dona Gercina Vieira de Souza, 00, Sâo Simâo, CEP: 75.955-000, INDIARA/GO;-;CadSUAS (gestão atual);CadSUAS;
Inhumas;(62) 3511-2121 Ramal 231;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL;INÚBIA APARECIDA DA SILVA;Oculto para proteção de dados (LGPD);AVENIDA RUA BARTOLOMEU BUENO, 0, Anhanguera, CEP: 75.407-545, INHUMAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Ipameri;(64) 3491-6000 Ramal 6001;SECRETARIA MUNICIPAL DE PROMOÇÃO SOCIAL Cidadania e da Mulher;Eliana Pimenta Pacheco;Oculto para proteção de dados (LGPD);RUA Rua Miguel David Cosac, 0, CENTRO, CEP: 75.780-000, IPAMERI/GO;-;CadSUAS (gestão atual);CadSUAS;
Ipiranga de Goiás;(62) 3342-6145 Ramal 26;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;LUCIA DE OLIVEIRA SOUZA;(62) 3342-6157;AVENIDA BERNARDO SAYAO, 0, CENTRO, CEP: 76.304-000, IPIRANGA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Iporá;Oculto para proteção de dados (LGPD);PM - SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;VASTIA ALVES DA SILVA;Oculto para proteção de dados (LGPD);RUA SAO JOSE, 11, CENTRO, CEP: 76.200-000, IPORA/GO;-;CadSUAS (gestão atual);CadSUAS;
Israelândia;(64) 3678-1305;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;CAMILA DIVINA DE CARVALHO;Oculto para proteção de dados (LGPD);AVENIDA RUA RIO CLARO, ESQ COM ROD GO 60, 0, CENTRO, CEP: 76.215-000, ISRAELANDIA/GO;http://www.israelandia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Itaberaí;(62) 3375-1321;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Neide Alves de Lellis Oliveira e Paiva;(08) 0037-51040 Ramal 1 / Tel: 0800 375 1040 | E-mail: assistenciasocial@itaberai.go.gov.br;RUA Capitão Caldas, esquina com a Rua Ministro Guimarães Natal, 0, Centro, CEP: 76.630-000, ITABERAI/GO;-;Confirmado via web;CadSUAS + https://itaberai.go.gov.br/estrutura-organizacional/;2026-08 — Estrutura organizacional no site oficial atual lista Neide Alves de Lellis Oliveira e Paiva como secretária de Assistência Social (Rua Sá Tavares esq. c/ Rua Capitão Caldas, Centro). Nomeada em 11/02/2022 pela prefeita Rita de Cássia, reeleita em 2024 com ~95% para a gestão 2025-2028 (Jornal Opção), o que sustenta a continuidade. Variação de ordem do nome (Neide Lellis Paiva de Oliveira na notícia de posse) = mesma pessoa.
Itaguari;(62) 3396-1155 Ramal 30;SECRETARIA MUNCIPAL DE PROMOÇÃO SOCIAL, EMPREGO E HABITAÇAO;Fernanda Martins Amaral Vieira;(62) 3396-1155 Ramal 25;RUA PARANA COM RUA GOIÁS, SN, TRES PODERES, CEP: 76.650-000, ITAGUARI/GO;http://www.itaguari.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Itaguaru;(62) 3398-1144;SECRETARIA DE ASSISTENCIA SOCIAL DE ITAGUARU;VERA LUCIA DE ARAUJO CAMARGO;(62) 3398-1144;PRAÇA JOAQUIM MOREIRA DAMASCENO, 735, CENTRO, CEP: 76.660-000, ITAGUARU/GO;-;CadSUAS (gestão atual);CadSUAS;
Itajá;(64) 3648-7500 Ramal 7501;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Karollyne Siqueira Silva;Oculto para proteção de dados (LGPD);RUA Rua Pio Cantarido de Medeiros, 235, CENTRO, CEP: 75.815-000, ITAJA/GO;-;CadSUAS (gestão atual);CadSUAS;
Itapaci;(62) 3361-1099;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL, TRABALHO E HABITAÇÃO;GISELE DO NASCIMENTO OLIVEIRA;Oculto para proteção de dados (LGPD);AVENIDA AVENIDA FLORESTA, 198, CENTRO, CEP: 76.360-000, ITAPACI/GO;-;CadSUAS (gestão atual);CadSUAS;
Itapirapuã;(62) 3374-1221;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Monica Claudia Cesar de Moraes;Oculto para proteção de dados (LGPD);AVENIDA TANCREDO NEVES, 62, CENTRO, CEP: 76.290-000, ITAPIRAPUA/GO;-;CadSUAS (gestão atual);CadSUAS;
Itapuranga;(62) 3355-7200;SECRETARIA DE CIDADANIA, ASSISTENCIA SOCIAL, TRABALHO E DA MULHER;ELIZABETHE CRISTINA MARTINS CARDOSO;(62) 3355-7200;RUA Rua 48, 900, CENTRO, CEP: 76.680-000, ITAPURANGA/GO;http://www.itapuranga.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Itarumã;(64) 3659-1254 Ramal 206;Secretaria de Promoção e Assistência Social;ELCIONE FATIMA DE LIMA;(64) 3659-1396;PRAÇA Praça Sebastião Assis Freitas, 18, Centro, CEP: 75.810-000, ITARUMA/GO;-;CadSUAS (gestão atual);CadSUAS;
Itauçu;(62) 3378-1271;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Idiekson Vieira de Souza;(62) 3378-1271;PRAÇA Ilete Bueno, 285, CENTRO, CEP: 75.450-000, ITAUCU/GO;-;CadSUAS (gestão atual);CadSUAS;
Itumbiara;(64) 3433-0400 Ramal 472;Fundação de Solidariedade - FUNSOL;Ednon Candido Vieira;(64) 3433-0474 Ramal 0474;RUA PARANAÍBA, 117, CENTRO, CEP: 75.526-170, ITUMBIARA/GO;http://www.itumbiara.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Ivolândia;(64) 3685-1144;SECRETARIA MUNICIPAL DE ACAO SOCIAL;Cicera Lorrayne Fernandes Mota;"Oculto para proteção de dados (LGPD) / Tel: (64) 98419-8516; E-mail: assistencia@ivolandia.go.gov.br";AVENIDA DEPUTADO JAMEL CECILIO Nº 192, 192, CENTRO, CEP: 76.130-000, IVOLANDIA/GO;-;Confirmado via web;CadSUAS + https://ivolandia.go.gov.br/estrutura-organizacional?id=15;2026-08 — Página oficial da Secretaria de Assistência Social indica gestão 2025/2028 e lista 'Cicera Lorrayne Fernandes' — mesma pessoa do CadSUAS (Cicera Lorrayne Fernandes Mota), grafia sem o sobrenome 'Mota'.
Jandaia;(64) 3563-2000;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;CASSILENE ALVES PEREIRA;Oculto para proteção de dados (LGPD);AVENIDA DONA GERCINA BORGES TEIXEIRA, 56, DANIEL GOMES, CEP: 75.950-000, JANDAIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Jaraguá;(62) 3326-4077;FUNDAÇAO MUNICIPAL GRACE MACHADO;GLADES MARIA DE OLIVEIRA SOUZA;(62) 3326-1153;RUA RUA 10, 235, CENTRO, CEP: 76.330-000, JARAGUA/GO;-;CadSUAS (gestão atual);CadSUAS;
Jataí;(64) 3632-8800;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E CIDADANIA;Alessandra Borges Ribeiro de Assis;(64) 3606-4947;RUA BENJAMIN CONSTANT, 1073, CENTRO, CEP: 75.800-016, JATAI/GO;-;CadSUAS (gestão atual);CadSUAS;
Jaupaci;(64) 3688-1120;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Gleice Gonçalves dos Santos;(64) 3688-1120 Ramal 201;RUA Guarda mor, 29, CENTRO, CEP: 76.210-000, JAUPACI/GO;-;CadSUAS (gestão atual);CadSUAS;
Jesúpolis;(62) 3359-1188 Ramal 22;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;DIVANI OLIVEIRA SILVA;"(62) 3359-1080 / Tel: (62) 99517-6731; E-mail: social@jesupolis.go.gov.br";PRAÇA PRAÇA LUIZ DE MATTOS, 100, CENTRO, CEP: 75.495-000, JESUPOLIS/GO;-;Confirmado via web;CadSUAS + https://jesupolis.go.gov.br/estrutura-organizacional/?id=5;"2026-08 — Página oficial (gestão 2025/2028) lista Divani Oliveira Silva como Secretária de Promoção Social e Trabalho — órgão que responde pela assistência social no município (nome do órgão difere do CadSUAS). Telefone é o mesmo do atendimento geral da prefeitura; e-mail é específico da pasta."
Joviânia;(64) 3408-7000;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;NADIA EMILLIANE SOUSA DE OLIVEIRA LUZ;(64) 3408-7037;RUA BENJAMIM BORGES GUIMARAES, 110, VILA CUSTÓDIO, CEP: 75.610-000, JOVIANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Jussara;(62) 3373-1241;Secretaria Municipal de Assistência Social;Eliane Rosa Rebouças;(62) 3373-1931;AVENIDA José Bonifácio, 208, Centro, CEP: 76.270-000, JUSSARA/GO;http://www.jussara.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Lagoa Santa;(64) 3640-1303;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Flávia Cristina Pereira da Silva Macedo;(64) 3640-1303 Ramal 205;AVENIDA R. WALDOMIRO TEODORO RIOS, 0, Pousada das Nascentes, CEP: 75.819-000, LAGOA SANTA/GO;-;CadSUAS (gestão atual);CadSUAS;
Leopoldo de Bulhões;(62) 3337-1155 Ramal 222;SECRETARIA MUNICIPAL DE AÇÃO SOCIAL;POLLIANY AUGUSTO DE OLIVEIRA;Oculto para proteção de dados (LGPD);PRAÇA PRAÇA DOM BOSCO, 266, CENTRO, CEP: 75.190-000, LEOPOLDO DE BULHOES/GO;-;CadSUAS (gestão atual);CadSUAS;
Luziânia;(61) 3906-3080 Ramal 3080;PM- SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E TRABALHO;Leonardo Roriz Filho;(61) 3906-3624 Ramal 3623;RUA rua coronel antonio carneiro, Nº 338, 338, CENTRO, CEP: 72.800-200, LUZIANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Mairipotaba;Oculto para proteção de dados (LGPD);PM - SECRETARIA MUNICIPAL DE PROMOCAO SOCIAL;ALESSANDRA BETSY AZER;Oculto para proteção de dados (LGPD);AVENIDA 12 de Novembro, 698, Jardim Tropical, CEP: 75.630-000, MAIRIPOTABA/GO;-;CadSUAS (gestão atual);CadSUAS;
Mambaí;(62) 3484-1251;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;GLEICIMARA TEIXEIRA MOREIRA;Oculto para proteção de dados (LGPD);AVENIDA CASTELO BRANCO, 00, CENTRO, CEP: 73.970-000, MAMBAI/GO;-;CadSUAS (gestão atual);CadSUAS;
